index,name,x,y
stall1,Angkringan Meong Duo,-7.002695631,110.4007794
stall2,Angkringan Bos Mini,-7.004822059,110.397202
stall3,Angkringan Barokah,-7.00512089,110.3968325
stall4,Angkringan Warung Pojok,-7.005291935,110.3967514
stall5,Angkringan BRI Kelud,-7.008454602,110.3962901
stall6,Angkringan Bangjo Papandayan,-7.008848575,110.3964949
stall7,Angkringan Masjid Baitul Muttaqien,-7.008686965,110.3951566
stall8,Angkringan Samin,-7.012116002,110.3905872
stall9,Angkringan Neng Cafe 1 Menoreh,-7.011185893,110.3912974
stall10,Angkringan Kampung Pahlawan,-7.018422955,110.389588
